date,usage_kwh,day_of_week,weekend,holiday,vacation,exam_period,temp_c,humidity_pct,wind_dir_deg,wind_speed_ms,pressure_local_hpa,pressure_sea_hpa,solar_rad_mj_m2,sunshine_sec,precip_mm,strong_wind_warning,strong_wind_advisory,dry_advisory,heavy_snow_warning,heavy_snow_advisory,tropical_night,typhoon_warning,typhoon_advisory,heat_wave_warning,heat_wave_advisory,cold_wave_warning,cold_wave_advisory,heavy_rain_warning,heavy_rain_advisory,yellow_dust_warning,obs_minutes
2021-12-04,200357.28,Saturday,1,0,0,1,1.5373870743571927,55.16636553161918,288.42499483410745,1.3917303683113273,1021.3884642112578,1026.4319666435024,8.41,23460.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-12-05,192896.64,Sunday,1,1,0,1,2.0820138888888886,61.394375,299.71490653337673,0.8709722222222223,1024.6954166666667,1029.7486111111111,10.53,33300.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-06,221844.96,Monday,0,0,0,1,4.4835416666666665,66.30652777777777,297.9575191072829,0.800625,1022.575625,1027.5702777777778,9.43,28440.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-07,216610.56,Tuesday,0,0,0,1,5.817361111111111,72.05875,301.2092981297737,1.0114583333333333,1024.5803472222221,1029.5657638888888,8.78,29460.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-08,213387.12,Wednesday,0,0,0,1,5.847569444444445,75.293125,294.1273864077518,0.7243055555555555,1027.5730555555556,1032.571388888889,10.13,32460.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-09,213770.16,Thursday,0,0,0,1,6.366527777777777,73.905625,97.44901076493015,1.1867361111111112,1025.0833333333333,1030.0561805555556,4.54,4140.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-10,207503.28,Friday,0,0,0,1,7.579444444444444,83.0325,85.45477997235956,1.2205555555555554,1020.561736111111,1025.4796527777778,1.61,0.0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-11,184650.48,Saturday,1,0,0,1,5.80875,87.20708333333333,289.0407117455131,1.0117361111111112,1021.7400694444444,1026.706111111111,6.02,9120.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-12,186163.2,Sunday,1,1,0,1,2.3085416666666667,63.45166666666666,302.1458002215057,3.0095833333333335,1021.3894444444445,1026.4239583333333,9.6,29940.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-13,235298.88,Monday,0,0,0,1,-1.9219596942321056,43.32814454482279,306.29646031307175,2.0833912439193885,1023.9107713690063,1029.0502432244614,10.82,33060.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-12-14,225864.0,Tuesday,0,0,0,1,3.370972222222222,67.66708333333334,147.12035465992022,1.4625,1017.3884722222222,1022.3827083333334,6.1,11820.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-15,213013.44,Wednesday,0,0,0,1,6.51028492008339,92.59346768589297,155.07215897752775,1.179638637943016,1015.6455872133427,1020.5701876302988,4.17,5520.0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-12-16,211186.08,Thursday,0,0,0,1,5.515555555555555,79.969375,307.3757867631358,1.2322916666666666,1014.5599305555556,1019.4941666666667,7.02,17220.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-17,234678.96,Friday,0,0,0,1,-3.617847222222222,50.130486111111104,305.23716117001527,5.04375,1019.1196527777778,1024.256111111111,10.13,31080.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-18,216946.8,Saturday,1,0,1,0,-5.1525459688826025,62.77439886845828,180.18165968275943,2.046888260254597,1021.5647100424328,1026.7553748231967,7.13,17160.0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1414
2021-12-19,200912.4,Sunday,1,1,1,0,-0.7020138888888888,70.14430555555556,224.00799885545254,1.6079166666666667,1017.6683333333333,1022.7463888888889,10.22,31200.0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-20,220874.4,Monday,0,0,1,0,5.180833333333333,75.13534722222222,161.96018347817238,1.6075052119527449,1012.9185416666667,1017.8486111111112,7.41,22320.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-21,220340.88,Tuesday,0,0,1,0,5.226597222222223,74.97854166666667,326.1855964383984,1.4509027777777779,1012.6919444444444,1017.6176388888888,6.06,19860.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-22,225896.4,Wednesday,0,0,1,0,1.721875,53.32868055555556,279.1865515571791,0.9540972222222223,1018.6542361111112,1023.6847916666667,9.68,31980.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-23,223755.84,Thursday,0,0,1,0,1.8271527777777776,64.36777777777777,301.4481892642225,0.7071527777777777,1020.1879861111111,1025.2073611111111,8.64,29160.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-24,220745.52,Friday,0,0,1,0,0.5713194444444445,70.26222222222222,316.4612951112634,2.2915972222222223,1018.2546527777778,1023.3175,1.82,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1440
2021-12-25,214259.76,Saturday,1,1,1,0,-9.987222222222222,38.93069444444444,305.87597908517347,4.004513888888889,1027.3060416666667,1032.6143055555556,11.09,32760.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1440
